source,destination,flow
Macau,Fujian,357479
Macau,Gansu,1435
Macau,Guangdong,88995
Macau,Guangxi,68749
Macau,Guizhou,41468
Macau,Hainan,116572
Macau,Hebei,2074
Macau,Heilongjiang,16079
Macau,Henan,65342
Macau,Hong Kong,422
Macau,Hubei,131833
Macau,Hunan,18801
Macau,Inner Mongolia,1588
Macau,Jiangsu,529945
Macau,Jiangxi,115732
Macau,Jilin,7230
Macau,Liaoning,17376
Macau,Ningxia,1459
Macau,Qinghai,472
Macau,Shaanxi,103418
Macau,Shandong,81344
Macau,Shanghai,1350639
Macau,Shanxi,87284
Macau,Sichuan,126282
Macau,Taiwan,1899589
Macau,Tianjin,93875
Macau,Tibet,486
Macau,Xinjiang,1137
Macau,Yunnan,28774
Macau,Zhejiang,842778
Ningxia,Anhui,358863
Ningxia,Beijing,2052547
Ningxia,Chongqing,954639
Ningxia,Fujian,312828
Ningxia,Gansu,309999
Ningxia,Guangdong,1165431
Ningxia,Guangxi,357961
Ningxia,Guizhou,337542
Ningxia,Hainan,477621
Ningxia,Hebei,381388
Ningxia,Heilongjiang,410563
Ningxia,Henan,916751
Ningxia,Hong Kong,48715
Ningxia,Hubei,672333
Ningxia,Hunan,727902
Ningxia,Inner Mongolia,248646
Ningxia,Jiangsu,1176999
Ningxia,Jiangxi,525316
Ningxia,Jilin,171631
Ningxia,Liaoning,409321
Ningxia,Macau,2488
Ningxia,Ningxia,441671
Ningxia,Qinghai,201230
Ningxia,Shaanxi,2158138
Ningxia,Shandong,1041228
Ningxia,Shanghai,1505628
Ningxia,Shanxi,362646
Ningxia,Sichuan,847567
Ningxia,Taiwan,39055
Ningxia,Tianjin,460676
Ningxia,Tibet,48804
Ningxia,Xinjiang,937063
Ningxia,Yunnan,608100
Ningxia,Zhejiang,918701
Qinghai,Anhui,250452
Qinghai,Beijing,1671457
Qinghai,Chongqing,474186
Qinghai,Fujian,93358
Qinghai,Gansu,193262
Qinghai,Guangdong,866320
Qinghai,Guangxi,99887
Qinghai,Guizhou,248781
Qinghai,Hainan,209933
Qinghai,Hebei,76523
Qinghai,Heilongjiang,92025
Qinghai,Henan,909174
Qinghai,Hong Kong,7299
Qinghai,Hubei,472538
Qinghai,Hunan,633035
Qinghai,Inner Mongolia,227898
Qinghai,Jiangsu,688160
Qinghai,Jiangxi,73122
Qinghai,Jilin,47727
Qinghai,Liaoning,175078
Qinghai,Macau,2745
Qinghai,Ningxia,212303
Qinghai,Qinghai,2836276
Qinghai,Shaanxi,1901465
Qinghai,Shandong,616699
Qinghai,Shanghai,921523
Qinghai,Shanxi,218819
Qinghai,Sichuan,906889
Qinghai,Taiwan,6015
Qinghai,Tianjin,337092
Qinghai,Tibet,699289
Qinghai,Xinjiang,532250
Qinghai,Yunnan,338636
Qinghai,Zhejiang,721738
Shaanxi,Anhui,966417
Shaanxi,Beijing,5582623
Shaanxi,Chongqing,1331574
Shaanxi,Fujian,2258610
Shaanxi,Gansu,1453306
Shaanxi,Guangdong,8539064
Shaanxi,Guangxi,3992298
Shaanxi,Guizhou,2096004
Shaanxi,Hainan,3186176
Shaanxi,Hebei,398008
Shaanxi,Heilongjiang,1286545
Shaanxi,Henan,104500
Shaanxi,Hong Kong,173772
Shaanxi,Hubei,1253190
Shaanxi,Hunan,2613371
Shaanxi,Inner Mongolia,2344875
Shaanxi,Jiangsu,4687083
Shaanxi,Jiangxi,2673471
Shaanxi,Jilin,846346
Shaanxi,Liaoning,2779940
Shaanxi,Macau,101058
Shaanxi,Ningxia,2133315
Shaanxi,Qinghai,1886233
Shaanxi,Shaanxi,594627
Shaanxi,Shandong,4350287
Shaanxi,Shanghai,6026176
Shaanxi,Shanxi,102590
Shaanxi,Sichuan,1236722
Shaanxi,Taiwan,189950
Shaanxi,Tianjin,1712736
Shaanxi,Tibet,2037026
Shaanxi,Xinjiang,5064105
Shaanxi,Yunnan,3738160
Shaanxi,Zhejiang,5992252
Shandong,Anhui,1003906
Shandong,Beijing,4805509
Shandong,Chongqing,3921847
Shandong,Fujian,3170731
Shandong,Gansu,1559292
Shandong,Guangdong,9111525
Shandong,Guangxi,2526131
Shandong,Guizhou,2440834
Shandong,Hainan,2780084
Shandong,Hebei,201886
Shandong,Heilongjiang,7128669
Shandong,Henan,1600435
Shandong,Hong Kong,229769
Shandong,Hubei,2944554
Shandong,Hunan,3675959
Shandong,Inner Mongolia,2034499
Shandong,Jiangsu,2947621
Shandong,Jiangxi,3310339
Shandong,Jilin,4497547
Shandong,Liaoning,7706865
Shandong,Macau,83977
Shandong,Ningxia,1119249
Shandong,Qinghai,589678
Shandong,Shaanxi,4311007
Shandong,Shandong,860111
Shandong,Shanghai,9231096
Shandong,Shanxi,1342890
Shandong,Sichuan,4001686
Shandong,Taiwan,416478
Shandong,Tianjin,591841
Shandong,Tibet,92526
Shandong,Xinjiang,1486488
Shandong,Yunnan,3711028
Shandong,Zhejiang,6447865
Shanghai,Anhui,310471
Shanghai,Beijing,15295275
Shanghai,Chongqing,7145187
